id,orig,pred,file,batch
124,270.0,0.0,7445.png,rotation_20250721_01
126,270.0,270.0,7445.png,rotation_20250721_01
127,270.0,0.0,7445.png,rotation_20250721_01
128,270.0,0.0,7445.png,rotation_20250721_01
129,270.0,0.0,7445.png,rotation_20250721_01
130,0.0,0.0,7445.png,rotation_20250721_01
131,0.0,0.0,7445.png,rotation_20250721_01
132,0.0,0.0,7445.png,rotation_20250721_01
133,0.0,0.0,7445.png,rotation_20250721_01
134,0.0,0.0,7445.png,rotation_20250721_01
135,0.0,0.0,7445.png,rotation_20250721_01
137,0.0,270.0,7451.png,rotation_20250721_01
138,0.0,0.0,7451.png,rotation_20250721_01
139,0.0,0.0,7451.png,rotation_20250721_01
144,270.0,270.0,7451.png,rotation_20250721_01
145,0.0,0.0,7459.png,rotation_20250721_01
146,0.0,0.0,7459.png,rotation_20250721_01
147,0.0,0.0,7459.png,rotation_20250721_01
148,0.0,270.0,7459.png,rotation_20250721_01
149,0.0,0.0,7459.png,rotation_20250721_01
150,0.0,0.0,7459.png,rotation_20250721_01
151,0.0,0.0,7459.png,rotation_20250721_01
152,270.0,0.0,7459.png,rotation_20250721_01
153,0.0,0.0,7459.png,rotation_20250721_01
154,270.0,0.0,7459.png,rotation_20250721_01
156,0.0,0.0,7459.png,rotation_20250721_01
157,0.0,90.0,7459.png,rotation_20250721_01
159,0.0,0.0,7459.png,rotation_20250721_01
160,270.0,0.0,7459.png,rotation_20250721_01
161,0.0,0.0,7459.png,rotation_20250721_01
162,0.0,0.0,7459.png,rotation_20250721_01
163,0.0,0.0,7459.png,rotation_20250721_01
164,0.0,0.0,7459.png,rotation_20250721_01
165,0.0,0.0,7459.png,rotation_20250721_01
166,0.0,0.0,7459.png,rotation_20250721_01
167,0.0,90.0,7459.png,rotation_20250721_01
168,0.0,0.0,7459.png,rotation_20250721_01
169,0.0,0.0,7459.png,rotation_20250721_01
170,0.0,0.0,7459.png,rotation_20250721_01
171,0.0,0.0,7459.png,rotation_20250721_01
172,0.0,0.0,7459.png,rotation_20250721_01
173,0.0,0.0,7460.png,rotation_20250721_01
174,0.0,0.0,7460.png,rotation_20250721_01
175,0.0,0.0,7460.png,rotation_20250721_01
176,0.0,0.0,7460.png,rotation_20250721_01
177,0.0,0.0,7460.png,rotation_20250721_01
179,270.0,0.0,7460.png,rotation_20250721_01
180,270.0,180.0,7460.png,rotation_20250721_01
181,270.0,0.0,7460.png,rotation_20250721_01
182,0.0,0.0,7460.png,rotation_20250721_01
183,0.0,0.0,7460.png,rotation_20250721_01
185,0.0,0.0,7460.png,rotation_20250721_01
186,270.0,270.0,7460.png,rotation_20250721_01
187,0.0,0.0,7460.png,rotation_20250721_01
188,0.0,0.0,7460.png,rotation_20250721_01
189,0.0,0.0,7460.png,rotation_20250721_01
190,0.0,0.0,7460.png,rotation_20250721_01
191,0.0,0.0,7460.png,rotation_20250721_01
192,0.0,0.0,7460.png,rotation_20250721_01
193,0.0,0.0,7460.png,rotation_20250721_01
